Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;TS;Mode;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Latitude;Longitude;Locator;Landmark
36;Salzburg;00;Speiereck;OFF;145,612500;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE2XNL;;47.127031;13.624763;JN67TD;St. Michael im Lungau
36;Salzburg;01;Kitzsteinhorn;OFF;145,650000;DUP-;0,600000;12,5kHz;FM;OFF;TONE;88,5Hz;88,5Hz;23;BOTH N;;;;OE2XHL;;47.188104;12.687513;JN67IE;Kaprun
36;Salzburg;02;Gaisberg;OFF;145,687500;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);88,5Hz;88,5Hz;23;BOTH N;;;;OE2XZR;;47.805128;13.112955;JN67NT;Heuberg I
36;Salzburg;03;Gernkogel;OFF;145,762500;DUP-;0,600000;12,5kHz;FM;OFF;TONE;88,5Hz;88,5Hz;23;BOTH N;;;;OE2XGR;;47.30755;13.238225;JN67OH;Plankenau
36;Salzburg;04;Gaisberg;OFF;438,400000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;88,5Hz;88,5Hz;23;BOTH N;;;;OE2XZR;;47.805128;13.112955;JN67NT;Heuberg I
36;Salzburg;05;Hochkoenig Matra;OFF;438,825000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE2XHM;;47.420263;13.062393;JN67MK;Mühlbach
36;Salzburg;06;Speiereck;OFF;438,975000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE2XNM;;47.127031;13.624763;JN67TD;St. Michael im Lungau
36;Salzburg;07;Gaisberg;OFF;1298,375000;DUP-;28,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE2XZR;;47.805128;13.112955;JN67NT;Heuberg I
