Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;TS;Mode;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
35;Wien;00;Laaerberg Turm;OFF;145,625000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE1XFW;
35;Wien;01;Porrtower;OFF;438,312500;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);162,2Hz;162,2Hz;23;BOTH N;;;;OE1XBA;
35;Wien;02;Hermannskogel;OFF;438,475000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);162,2Hz;162,2Hz;23;BOTH N;;;;OE1XAT;
35;Wien;03;Laaerberg Turm;OFF;438,650000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE1XFW;
35;Wien;04;Kahlenberg;OFF;438,950000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);162,2Hz;162,2Hz;23;BOTH N;;;;OE1XUU;
35;Wien;05;Satzberg;OFF;439,000000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);162,2Hz;162,2Hz;23;BOTH N;;;;OE1XFU;
35;Wien;06;Wienerberg;OFF;1298,025000;DUP-;28,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE1XQU;
35;Wien;07;Laaerberg Wohnto;OFF;1298,275000;DUP-;28,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE1XCS;
35;Wien;08;Wienerberg;OFF;2449,600000;DUP-;49,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE1XQU;
