Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;TS;Mode;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Latitude;Longitude;Locator;Landmark
37;Niederösterreich;00;Giesshuebel;OFF;145,587500;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE3XLU;;48.09671;16.23893;JN88CC;Gießhübl
37;Niederösterreich;01;Nebelstein;OFF;145,637500;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);88,5Hz;88,5Hz;23;BOTH N;;;;OE3XNR;;48.672816;14.77828;JN78JQ;Hirschenwies
37;Niederösterreich;02;Kaiserkogel;OFF;145,650000;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);162,2Hz;162,2Hz;23;BOTH N;;;;OE3XPA;;48.05978708;15.53965351;JN78SB;Wehrabach
37;Niederösterreich;03;Sandl;OFF;145,700000;DUP-;0,600000;12,5kHz;FM;OFF;TONE;162,2Hz;88,5Hz;23;BOTH N;;;;OE3XSA;;48.43338;15.471389;JN78RK;Stixendorf
37;Niederösterreich;04;Hohe Wand;OFF;145,725000;DUP-;0,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE3XHW;;47.8346;16.04605;JN87AU;Maiersdorf
37;Niederösterreich;05;Exelberg;OFF;145,750000;DUP-;0,600000;12,5kHz;FM;OFF;TONE;162,2Hz;88,5Hz;23;BOTH N;;;;OE3XQA;;48.24876033;16.2440474;JN88CF;Weidlingbach
37;Niederösterreich;06;Frauenstaffel;OFF;145,787500;DUP-;0,600000;12,5kHz;FM;OFF;TONE;79,7Hz;88,5Hz;23;BOTH N;;;;OE3XES;;48.7931928;15.3499052;JN78QT;Dietmanns
37;Niederösterreich;07;Hollabrunn Stadt;OFF;438,075000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);162,2Hz;162,2Hz;23;BOTH N;;;;OE3XTC;;48.56105797949712;16.06752060075255;JN88AN;Hollabrunn
37;Niederösterreich;08;FH Wr Neustadt;OFF;438,225000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);162,2Hz;162,2Hz;23;BOTH N;;;;OE3XVJ;;47.839;16.24825;JN87CU;Wiener Neustadt
37;Niederösterreich;09;Hainfelder Huett;OFF;438,300000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);162,2Hz;162,2Hz;23;BOTH N;;;;OE3XOR;;48.0193515;15.753696399999999;JN78VA;Hainfeld
37;Niederösterreich;10;Hohe Wand;OFF;438,400000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;162,2Hz;88,5Hz;23;BOTH N;;;;OE3XTR;;47.8346;16.04605;JN87AU;Maiersdorf
37;Niederösterreich;11;Jauerling;OFF;438,600000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);162,2Hz;162,2Hz;23;BOTH N;;;;OE3XWJ;;48.334521482895106;15.337681174278261;JN78QI;Wiesmannsreith
37;Niederösterreich;12;Hinteralm;OFF;438,700000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;162,2Hz;88,5Hz;23;BOTH N;;;;OE3XPC;;47.97206;15.61039;JN77TX;Hintereben
37;Niederösterreich;13;Hohe Wand;OFF;438,750000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE3XHW;;47.8346;16.04605;JN87AU;Maiersdorf
37;Niederösterreich;14;Buschberg;OFF;438,800000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE3XNS;;48.577044;16.39555;JN88EN;Pyhra
37;Niederösterreich;15;Hutwisch;OFF;438,837500;DUP-;7,600000;12,5kHz;FM;OFF;TONE;97,4Hz;88,5Hz;23;BOTH N;;;;OE3XCR;;47.463146;16.22183;JN87CL;Hochneukirchen
37;Niederösterreich;16;Hochkogel;OFF;438,850000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE3XDA;;48.034278;14.951167;JN78LA;Hochkoglberg
37;Niederösterreich;17;Nebelstein;OFF;438,875000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE3XNR;;48.672816;14.77828;JN78JQ;Hirschenwies
37;Niederösterreich;18;Sonntagberg;OFF;438,900000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE3XRB;;47.996538;14.764472;JN77JX;Sonntagberg
37;Niederösterreich;19;Rittmannsberg;OFF;438,925000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE3XSU;;48.158249;14.548894;JN78GD;Endholz
37;Niederösterreich;20;Jochgrabenberg;OFF;438,975000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);162,2Hz;162,2Hz;23;BOTH N;;;;OE3XFW;;48.153067275070676;16.016285419464115;JN88AD;Rekawinkel
37;Niederösterreich;21;Frauenstaffel;OFF;439,025000;DUP-;7,600000;12,5kHz;FM;OFF;TONE;136,5Hz;88,5Hz;23;BOTH N;;;;OE3XEU;;48.7931928;15.3499052;JN78QT;Dietmanns
37;Niederösterreich;22;Giesshuebel;OFF;439,025000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE3XLU;;48.09671;16.23893;JN88CC;Gießhübl
37;Niederösterreich;23;Troppberg;OFF;439,050000;DUP-;7,600000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE3XEB;;48.223986;16.110077;JN88BF;Gablitz
37;Niederösterreich;24;Hochwechsel;OFF;439,075000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);162,2Hz;162,2Hz;23;BOTH N;;;;OE3XWU;;47.530448;15.9145156;JN77WM;Neustift am Alpenwald
37;Niederösterreich;25;Hochwechsel;OFF;1298,225000;DUP-;28,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE3XFC;;47.530448;15.9145156;JN77WM;Neustift am Alpenwald
37;Niederösterreich;26;Hinteralm;OFF;1298,500000;DUP-;28,000000;12,5kHz;FM;OFF;OFF;88,5Hz;88,5Hz;23;BOTH N;;;;OE3XPC;;47.97206;15.61039;JN77TX;Hintereben
