Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;TS;Mode;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Latitude;Longitude;Locator;Landmark
43;Vorarlberg;00;Vorderaelpele;OFF;145,650000;DUP-;0,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);85,4Hz;85,4Hz;23;BOTH N;;;;OE9XVI;;47.20918;9.591069;JN47TF;Tisis
43;Vorarlberg;01;Gebhartsberg;OFF;438,525000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);85,4Hz;85,4Hz;23;BOTH N;;;;OE9XFV;;47.49003;9.74761;JN47UL;Bregenz
43;Vorarlberg;02;Dornbirn Erlosen;OFF;438,587500;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);85,4Hz;85,4Hz;23;BOTH N;;;;OE9XXD;;47.4013;9.7227;JN47UJ;Dornbirn
43;Vorarlberg;03;Karren;OFF;438,625000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);85,4Hz;85,4Hz;23;BOTH N;;;;OE9XKV;;47.38802843464625;9.750838279724123;JN47VJ;Dornbirn
43;Vorarlberg;04;Duenserberg;OFF;438,825000;DUP-;7,600000;12,5kHz;FM;OFF;TONE(T)/TSQL(R);85,4Hz;85,4Hz;23;BOTH N;;;;OE9XVV;;47.22903;9.737786;JN47UF;Dünserberg
