Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
70,SOTA-Summits,OE/SB-192 Asitzk,Salzburg 1914m,,,,,,GPS,,,,Exact,47.4028,12.7025,+1:00
70,SOTA-Summits,OE/KT-305 Astrom,Kaernten 2811m,,,,,,GPS,,,,Exact,46.9907,13.0831,+1:00
70,SOTA-Summits,OE/ST-551 Augste,Steierma 1370m,,,,,,GPS,,,,Exact,47.6034,14.5468,+1:00
70,SOTA-Summits,OE/TI-863 August,Tirol 2881m,,,,,,GPS,,,,Exact,47.0775,10.2408,+1:00
70,SOTA-Summits,OE/OO-445 August,Oberoeste 1335m,,,,,,GPS,,,,Exact,47.7342,14.3919,+1:00
70,SOTA-Summits,OE/TI-643 B'schi,Tirol 1998m,,,,,,GPS,,,,Exact,47.4878,10.4406,+1:00
70,SOTA-Summits,OE/KT-388 Baba,Kaernten 2127m,,,,,,GPS,,,,Exact,46.3794,14.556,+1:00
70,SOTA-Summits,OM/KE-002 Babina,Kosicky 1278m,,,,,,GPS,,,,Exact,48.8302,20.4627,+1:00
70,SOTA-Summits,OM/PO-024 Bachur,Presovsk 1081m,,,,,,GPS,,,,Exact,49.0905,20.9228,+1:00
70,SOTA-Summits,OE/NO-279 Badner,Niederoes 582m,,,,,,GPS,,,,Exact,48.0078,16.1847,+1:00
70,SOTA-Summits,OE/ST-556 Baierh,Steierma 1335m,,,,,,GPS,,,,Exact,47.4441,14.6992,+1:00
70,SOTA-Summits,OE/TI-151 Ballun,Tirol 2671m,,,,,,GPS,,,,Exact,46.9553,10.135,+1:00
70,SOTA-Summits,OE/KT-384 Bannwa,Kaernten 701m,,,,,,GPS,,,,Exact,46.6461,14.1561,+1:00
70,SOTA-Summits,OM/ZA-004 Baniko,Zilinsky 2178m,,,,,,GPS,,,,Exact,49.1981,19.7098,+1:00
70,SOTA-Summits,OM/ZA-003 Barane,Zilinsky 2184m,,,,,,GPS,,,,Exact,49.1734,19.741,+1:00
70,SOTA-Summits,OM/PO-077 Barvie,Presovsk 591m,,,,,,GPS,,,,Exact,49.3068,21.1671,+1:00
70,SOTA-Summits,OM/TN-032 Baske,Trencian 954m,,,,,,GPS,,,,Exact,48.8801,18.2579,+1:00
70,SOTA-Summits,OE/ST-532 Bauern,Steierma 1723m,,,,,,GPS,,,,Exact,47.1988,14.3801,+1:00
70,SOTA-Summits,OE/ST-021 Baulei,Steierma 2424m,,,,,,GPS,,,,Exact,47.2711,13.9692,+1:00
70,SOTA-Summits,OE/NO-292 Baumec,Niederoes 972m,,,,,,GPS,,,,Exact,47.7964,15.7297,+1:00
70,SOTA-Summits,OE/SB-355 Baumga,Salzburg 2392m,,,,,,GPS,,,,Exact,47.2769,12.1469,+1:00
70,SOTA-Summits,OE/SB-024 Baumga,Salzburg 2623m,,,,,,GPS,,,,Exact,47.1392,12.8439,+1:00
70,SOTA-Summits,OM/PO-084 Bana,Presovsk 523m,,,,,,GPS,,,,Exact,49.2149,21.5949,+1:00
70,SOTA-Summits,OE/OO-389 Beerwu,Oberoeste 2006m,,,,,,GPS,,,,Exact,47.5247,13.5653,+1:00
70,SOTA-Summits,OE/TI-265 Bentls,Tirol 2436m,,,,,,GPS,,,,Exact,47.1033,11.5222,+1:00
70,SOTA-Summits,OE/SB-152 Benzeg,Salzburg 2075m,,,,,,GPS,,,,Exact,47.2647,13.395,+1:00
70,SOTA-Summits,OE/TI-899 Berger,Tirol 2656m,,,,,,GPS,,,,Exact,46.9944,12.3822,+1:00
70,SOTA-Summits,OE/SB-260 Bergko,Salzburg 1480m,,,,,,GPS,,,,Exact,47.6894,13.2731,+1:00
70,SOTA-Summits,OE/OO-030 Bergwe,Oberoeste 1781m,,,,,,GPS,,,,Exact,47.6761,13.5089,+1:00
70,SOTA-Summits,OE/TI-916 Bergwe,Tirol 2728m,,,,,,GPS,,,,Exact,47.225,10.6092,+1:00
70,SOTA-Summits,OE/SB-077 Bernko,Salzburg 2325m,,,,,,GPS,,,,Exact,47.2489,13.0433,+1:00
70,SOTA-Summits,OE/ST-415 Bernta,Steierma 1177m,,,,,,GPS,,,,Exact,47.3123,15.2648,+1:00
70,SOTA-Summits,OE/OO-418 Bertel,Oberoeste 922m,,,,,,GPS,,,,Exact,47.8983,14.5783,+1:00
70,SOTA-Summits,OE/VB-260 Bettle,Vorarlbe 2272m,,,,,,GPS,,,,Exact,47.2117,9.9717,+1:00
70,SOTA-Summits,OM/BB-005 Benusk,Banskoby 1542m,,,,,,GPS,,,,Exact,48.8803,19.7328,+1:00
70,SOTA-Summits,OE/NO-284 Bichle,Niederoes 1378m,,,,,,GPS,,,,Exact,47.8367,15.3375,+1:00
70,SOTA-Summits,OE/NO-262 Bichlh,Niederoes 955m,,,,,,GPS,,,,Exact,47.8726,15.0949,+1:00
70,SOTA-Summits,OE/TI-131 Birkka,Tirol 2749m,,,,,,GPS,,,,Exact,47.4114,11.4375,+1:00
70,SOTA-Summits,OE/SB-023 Birnho,Salzburg 2634m,,,,,,GPS,,,,Exact,47.4747,12.7339,+1:00
70,SOTA-Summits,OE/SB-207 Bischl,Salzburg 1834m,,,,,,GPS,,,,Exact,47.4628,13.2983,+1:00
