callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading
,Antenne S,radio,89.3,89.3,,,False,False,,,False,,,True,Hochgitzen Mobilfunkmast,Salzburg,Austria,AUT,True,47.857222,13.035278,JN67MU,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö3,radio,89.4,89.4,,,False,False,,,False,,,True,Jauerling,Niederösterreich,Austria,AUT,True,48.334444,15.338611,JN78QI,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Ö1,radio,89.5,89.5,,,False,False,,,False,,,True,Kuhalpe,Steiermark,Austria,AUT,True,47.058333,14.273333,JN77DB,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Freirad,radio,89.6,89.6,,,False,False,,,False,,,True,Volderberg,Tirol,Austria,AUT,True,47.274444,11.581389,JN57SG,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,OP,radio,89.7,89.7,,,False,False,,,False,,,True,Margarethenwarte,Burgenland,Austria,AUT,True,47.397222,16.423333,JN87FJ,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,89.8,89.8,,,False,False,,,False,,,True,Pfaffenberg,Kärnten,Austria,AUT,True,46.934167,13.220556,JN66OW,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Life  (OÖ),radio,89.9,89.9,,,False,False,,,False,,,True,Lichtenberg,Oberösterreich,Austria,AUT,True,47.932778,13.426389,JN67RW,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,VM1,radio,90.0,90.0,,,False,False,,,False,,,True,Thierberg,Tirol,Austria,AUT,True,47.595,12.166667,JN67CO,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,90.1,90.1,,,False,False,,,False,,,True,Erlgrund,Vorarlberg,Austria,AUT,True,47.403611,9.724167,JN47UJ,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
,Kronehit,radio,90.2,90.2,,,False,False,,,False,,,True,Auf der Egg,Vorarlberg,Austria,AUT,True,47.245278,9.570278,JN47SF,,False,,rtr-radio-db,Radio Frequencies,RTR-GmbH - data.rtr.at,dynamic,Public Domain,https://www.rtr.at/rtr/service/opendata/OD_Uebersicht.de.html,0.0,,False,True,False,False,,,
