Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
32,AT-Repeaters,Hollbruck,Hollbruck,OE7XJH,,430.9,DUP-,7.6,FM,TONE,77.0Hz,YES,Exact,46.73872222,12.45377778,+1:00
32,AT-Repeaters,Gebhartsberg,Bregenz,OE9XFV,,430.925,DUP-,7.6,FM,TONE,85.4Hz,YES,Exact,47.49003,9.74761,+1:00
32,AT-Repeaters,Kindberg,Kindberg,OE6XME,,430.925,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.50585,15.44903,+1:00
32,AT-Repeaters,Villach LKH,Villach,OE8XVK,,430.95,DUP-,7.6,FM,TONE,88.5Hz,YES,Exact,46.61612,13.85777,+1:00
32,AT-Repeaters,Breitenstein,Kirchschlag,OE5XOL,,430.975,DUP-,7.6,FM,TONE,123.0Hz,YES,Exact,48.4152993,14.27429015,+1:00
32,AT-Repeaters,Magdalensberg,Ottmanach,OE8XMK,,430.975,DUP-,7.6,FM,TONE,88.5Hz,YES,Exact,46.728051,14.429426,+1:00
32,AT-Repeaters,Dornbirn Erlosenstraße,Dornbirn,OE9XXD,,430.9875,DUP-,7.6,FM,TONE,85.4Hz,YES,Exact,47.4013,9.7227,+1:00
32,AT-Repeaters,Jauerling,Wiesmannsreith,OE3XWJ,,431.0,DUP-,7.6,FM,TONE,162.2Hz,YES,Exact,48.334521482895106,15.337681174278261,+1:00
32,AT-Repeaters,Weinbergerhaus,Kufstein,OE7XWT,,431.0,DUP-,7.6,FM,TONE,77.0Hz,YES,Exact,47.57772,12.20958,+1:00
32,AT-Repeaters,Iselsberg-Stronach,Iselsberg,OE7XLH,,431.025,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,46.83869,12.84436,+1:00
32,AT-Repeaters,Karren,Dornbirn,OE9XKV,,431.025,DUP-,7.6,FM,TONE,85.4Hz,YES,Exact,47.38802843464625,9.750838279724123,+1:00
32,AT-Repeaters,Stuhleck,Spital am Semmering,OE6XCD,,431.025,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.574167,15.79,+1:00
32,AT-Repeaters,Laaerberg Turm,Oberlaa Stadt,OE1XFW,,431.05,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,48.157173,16.396717,+1:00
32,AT-Repeaters,Lichtenberg,Lichtenberg,OE5XLL,,431.05,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,48.38515,14.25445,+1:00
32,AT-Repeaters,Rossegger Str/LWZ,Waidmannsdorf,OE8XCK,,431.05,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,46.61189,14.29801,+1:00
32,AT-Repeaters,Seegrube,Hötting,OE7XLR,,431.05,DUP-,7.6,FM,TONE,77.0Hz,YES,Exact,47.305572,11.377861,+1:00
32,AT-Repeaters,Lachtal,Schönberg,OE6XDG,,431.075,DUP-,7.6,FM,TONE,103.5Hz,YES,Exact,47.25505,14.34483,+1:00
32,AT-Repeaters,Hinteralm,Hintereben,OE3XPC,,431.1,DUP-,7.6,FM,TONE,162.2Hz,YES,Exact,47.97206,15.61039,+1:00
32,AT-Repeaters,Hunerkogel,Obertraun,OE5XDM,,431.125,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.46794155907106,13.626244068145754,+1:00
32,AT-Repeaters,Sonnenberg im Leithagebirge,Hornstein,OE4XSB,,431.125,DUP-,7.6,FM,TONE,97.4Hz,YES,Exact,47.875443581357835,16.475900647888768,+1:00
32,AT-Repeaters,Damberg,Unterwald,OE5XHO,,431.15,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,48.007363488562355,14.452160596847536,+1:00
32,AT-Repeaters,Hohe Wand,Maiersdorf,OE3XHW,,431.15,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.8346,16.04605,+1:00
32,AT-Repeaters,Ungerdorf,Ungerdorf,OE6XGD,,431.15,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.0938,15.69455,+1:00
32,AT-Repeaters,Grambach,Grambach,OE6XCG,,431.175,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.00617,15.4962,+1:00
32,AT-Repeaters,Linz Froschberg,Waldegg,OE5XBR,,431.175,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,48.28849,14.27855,+1:00
32,AT-Repeaters,Buschberg,Pyhra,OE3XNS,,431.2,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,48.577044,16.39555,+1:00
32,AT-Repeaters,Grünberg,Schlagen,OE5XGL,,431.2,DUP-,7.6,FM,TONE,123.0Hz,YES,Exact,47.8981318,13.8219805,+1:00
32,AT-Repeaters,Zirbitzkogel,Granitzen,OE6XMD,,431.2,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.063469,14.567296,+1:00
32,AT-Repeaters,Dünserberg,Dünserberg,OE9XVV,,431.225,DUP-,7.6,FM,TONE,85.4Hz,YES,Exact,47.22903,9.737786,+1:00
32,AT-Repeaters,Hochkönig Matrashaus,Mühlbach,OE2XHM,,431.225,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.420263,13.062393,+1:00
32,AT-Repeaters,Hutwisch,Hochneukirchen,OE3XCR,,431.2375,DUP-,7.6,FM,TONE,97.4Hz,YES,Exact,47.463146,16.22183,+1:00
32,AT-Repeaters,Hochkogel,Hochkoglberg,OE3XDA,,431.25,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,48.034278,14.951167,+1:00
32,AT-Repeaters,Nebelstein,Hirschenwies,OE3XNR,,431.275,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,48.672816,14.77828,+1:00
32,AT-Repeaters,Schöckl,Schöckl,OE6XAG,,431.275,DUP-,7.6,FM,TONE,103.5Hz,YES,Exact,47.1988534,15.4669424,+1:00
32,AT-Repeaters,Schönjöchl,Fiss,OE7XOI,,431.275,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.07723879520141,10.59837341308594,+1:00
32,AT-Repeaters,Dobratsch,Bleiberg,OE8XFK,,431.3,DUP-,7.6,FM,TONE,88.5Hz,YES,Exact,46.603397,13.670989,+1:00
32,AT-Repeaters,Gallzein Kogelmoos,Gallzein,OE7XFI,,431.3,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.357,11.755,+1:00
32,AT-Repeaters,Sonntagberg,Sonntagberg,OE3XRB,,431.3,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.996538,14.764472,+1:00
32,AT-Repeaters,Gefrorene Wand,Finkenberg,OE7XGR,,431.325,DUP-,7.6,FM,TONE,77.0Hz,YES,Exact,47.064977,11.679196,+1:00
32,AT-Repeaters,Rittmannsberg,Endholz,OE3XSU,,431.325,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,48.158249,14.548894,+1:00
32,AT-Repeaters,Kahlenberg,Josefsdorf,OE1XUU,,431.35,DUP-,7.6,FM,TONE,162.2Hz,YES,Exact,48.276145,16.333217,+1:00
32,AT-Repeaters,Pfarrkirchen,Pfarrkirchen,OE5XDO,,431.35,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,48.502871999999996,13.825623,+1:00
32,AT-Repeaters,Ahorn,Mayrhofen,OE7XZT,,431.375,DUP-,7.6,FM,TONE,77.0Hz,YES,Exact,47.13717,11.86928,+1:00
32,AT-Repeaters,Jochgrabenberg,Rekawinkel,OE3XFW,,431.375,DUP-,7.6,FM,TONE,162.2Hz,YES,Exact,48.153067275070676,16.016285419464115,+1:00
32,AT-Repeaters,Speiereck,St. Michael im Lungau,OE2XNM,,431.375,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.127031,13.624763,+1:00
32,AT-Repeaters,Sternstein,Amesschlag,OE5XIM,,431.375,DUP-,7.6,FM,TONE,123.0Hz,YES,Exact,48.5599155,14.2690062,+1:00
32,AT-Repeaters,Stradner Kogel,Hochstraden,OE6XBF,,431.375,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,46.84521579785275,15.93197822570801,+1:00
32,AT-Repeaters,Gaberl/Wiedneralm,Salla,OE6XNG,,431.4,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,47.11856,14.93233,+1:00
32,AT-Repeaters,Goldeck,Stockenboi,OE8XDK,,431.4,DUP-,7.6,FM,TONE,88.5Hz,YES,Exact,46.76179,13.45725,+1:00
32,AT-Repeaters,Satzberg,Hütteldorf,OE1XFU,,431.4,DUP-,7.6,FM,TONE,162.2Hz,YES,Exact,48.21527259679771,16.2613320350647,+1:00
32,AT-Repeaters,Telfs Arzbergstraße,Telfs,OE7XKG,,431.4,DUP-,7.6,FM,TONE,77.0Hz,YES,Exact,47.318046245342174,11.078756716842637,+1:00
32,AT-Repeaters,Frauenstaffel,Dietmanns,OE3XEU,,431.425,DUP-,7.6,FM,TONE,136.5Hz,YES,Exact,48.7931928,15.3499052,+1:00
32,AT-Repeaters,Gießhübel,Gießhübl,OE3XLU,,431.425,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,48.09671,16.23893,+1:00
32,AT-Repeaters,Harschbichl,St. Johann in Tirol,OE7XFJ,,431.425,DUP-,7.6,FM,TONE,77.0Hz,YES,Exact,47.48446,12.42795,+1:00
32,AT-Repeaters,Gerlitzen,Sauerwald,OE8XKQ,,431.45,DUP-,7.6,FM,TONE,88.5Hz,YES,Exact,46.695,13.914166999999999,+1:00
32,AT-Repeaters,Pichling,Pichling,OE6XPF,,431.45,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,46.91079,15.2744,+1:00
32,AT-Repeaters,Troppberg,Gablitz,OE3XEB,,431.45,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,48.223986,16.110077,+1:00
32,AT-Repeaters,Hochwechsel,Neustift am Alpenwald,OE3XWU,,431.475,DUP-,7.6,FM,TONE,162.2Hz,YES,Exact,47.530448,15.9145156,+1:00
32,AT-Repeaters,Petzen,Unterort,OE8XPK,,431.4875,DUP-,7.6,FM,OFF,88.5Hz,NO,Exact,46.518507,14.772985,+1:00
32,AT-Repeaters,Eisenerzer Reichenstein,Trofeng,OE6XRE,,431.5,DUP-,7.6,FM,TONE,103.5Hz,YES,Exact,47.500836856013976,14.932286739349367,+1:00
32,AT-Repeaters,Rangger Köpfl,Inzing,OE7XBI,,1294.2,DUP+,-35.0,FM,OFF,88.5Hz,NO,Exact,47.242985,11.181174,+1:00
32,AT-Repeaters,Wienerberg,Inzersdorf Stadt,OE1XQU,,1270.025,DUP-,28.0,FM,OFF,88.5Hz,NO,Exact,48.16803,16.3454,+1:00
32,AT-Repeaters,Dobl,Dobl,OE6XDF,,1270.05,DUP-,28.0,FM,OFF,88.5Hz,NO,Exact,46.94991,15.37989,+1:00
32,AT-Repeaters,Dobratsch,Bleiberg,OE8XFQ,,1270.15,DUP-,28.0,FM,OFF,88.5Hz,NO,Exact,46.603397,13.670989,+1:00
32,AT-Repeaters,Schöckl,Schöckl,OE6XDD,,1270.2,DUP-,28.0,FM,OFF,88.5Hz,NO,Exact,47.1988534,15.4669424,+1:00
32,AT-Repeaters,Hochwechsel,Neustift am Alpenwald,OE3XFC,,1270.225,DUP-,28.0,FM,OFF,88.5Hz,NO,Exact,47.530448,15.9145156,+1:00
32,AT-Repeaters,Laaerberg Wohntower,Oberlaa Stadt,OE1XCS,,1270.275,DUP-,28.0,FM,OFF,88.5Hz,NO,Exact,48.1664,16.3888,+1:00
32,AT-Repeaters,Gaisberg,Heuberg I,OE2XZR,,1270.375,DUP-,28.0,FM,OFF,88.5Hz,NO,Exact,47.805128,13.112955,+1:00
32,AT-Repeaters,Hinteralm,Hintereben,OE3XPC,,1270.5,DUP-,28.0,FM,OFF,88.5Hz,NO,Exact,47.97206,15.61039,+1:00
32,AT-Repeaters,Rangger Köpfl,Inzing,OE7XBI,,2449.9,DUP+,-48.0,FM,OFF,88.5Hz,NO,Exact,47.242985,11.181174,+1:00
32,AT-Repeaters,Wienerberg,Inzersdorf Stadt,OE1XQU,,2400.6,DUP-,49.0,FM,OFF,88.5Hz,NO,Exact,48.16803,16.3454,+1:00
32,AT-DSTAR,Hochkogel,Hochkoglberg,OE3XDA,OE3XDA G,144.975,DUP-,0.6,DV,OFF,88.5Hz,YES,Exact,48.034278,14.951167,+1:00
32,AT-DSTAR,Wien AKH,Alsergrund,OE1XDS,OE1XDS G,144.975,DUP-,0.6,DV,OFF,88.5Hz,YES,Exact,48.22075,16.34684,+1:00
32,AT-DSTAR,Dobl,Dobl,OE6XDF,OE6XDF G,145.0375,DUP-,0.6,DV,OFF,88.5Hz,YES,Exact,46.94991,15.37989,+1:00
32,AT-DSTAR,Hochstein,Patriasdorf,OE7XLI,OE7XLI G,145.125,DUP-,0.6,DV,OFF,88.5Hz,YES,Exact,46.82166,12.70025,+1:00
32,AT-DSTAR,Hoadl,Grinzens,OE7XIH,OE7XIH G,430.45,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.183272,11.281548,+1:00
32,AT-DSTAR,Rofan Roßkogel,Münster,OE7XXR,OE7XXR G,430.6,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.46738,11.82695,+1:00
32,AT-DSTAR,Vorderälpele,Tisis,OE9XVI,OE9XVI G,430.6,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.20918,9.591069,+1:00
32,AT-DSTAR,FH Wr Neustadt,Wiener Neustadt,OE3XVJ,OE3XVJ G,430.625,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.839,16.24825,+1:00
32,AT-DSTAR,Grünberg,Schlagen,OE5XGL,OE5XGL G,430.6625,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.8981318,13.8219805,+1:00
32,AT-DSTAR,Nebelstein,Hirschenwies,OE3XNR,OE3XNR G,430.725,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,48.672816,14.77828,+1:00
32,AT-DSTAR,Poschenhof,Wagrain,OE5XTP,OE5XTP G,430.75,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,48.02072354491044,13.643034696578981,+1:00
32,AT-DSTAR,Sonnenberg im Leithagebirge,Hornstein,OE4XSB,OE4XSB G,430.7625,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.875443581357835,16.475900647888768,+1:00
32,AT-DSTAR,Hochkogel,Hochkoglberg,OE3XDA,OE3XDA G,430.8,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,48.034278,14.951167,+1:00
32,AT-DSTAR,Magdalensberg,Ottmanach,OE8XMK,OE8XMK G,430.825,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,46.728051,14.429426,+1:00
32,AT-DSTAR,Senftenbach/Wolfau,Furth,OE5XDN,OE5XDN G,430.825,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,48.27889,13.40661,+1:00
32,AT-DSTAR,Kaiserkogel,Wehrabach,OE3XPA,OE3XPA G,430.85,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,48.05978708,15.53965351,+1:00
32,AT-DSTAR,Krahberg,Zams,OE7XKH,OE7XKH G,430.9,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.145919,10.626826,+1:00
32,AT-DSTAR,Krippenstein,Obertraun,OE5XKL,OE5XKL G,430.9,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.524287,13.69208,+1:00
32,AT-DSTAR,Breitenstein,Kirchschlag,OE5XOL,OE5XOL G,430.925,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,48.4152993,14.27429015,+1:00
32,AT-DSTAR,Gernkogel,Plankenau,OE2XGR,OE2XGR G,430.925,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.30755,13.238225,+1:00
32,AT-DSTAR,Wien AKH,Alsergrund,OE1XDS,OE1XDS G,430.925,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,48.22075,16.34684,+1:00
32,AT-DSTAR,Villach LKH,Villach,OE8XVK,OE8XVK G,430.95,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,46.61612,13.85777,+1:00
32,AT-DSTAR,Iselsberg-Stronach,Iselsberg,OE7XLH,OE7XLH G,431.025,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,46.83869,12.84436,+1:00
32,AT-DSTAR,Petzen,Unterort,OE8XPK,OE8XPK G,431.1,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,46.518507,14.772985,+1:00
32,AT-DSTAR,Wölfnitz,Lendorf,OE8XWZ,OE8XWZ G,431.175,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,46.66441,14.25703,+1:00
32,AT-DSTAR,Wienerberg,Inzersdorf Stadt,OE1XQU,OE1XQU G,431.225,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,48.16803,16.3454,+1:00
32,AT-DSTAR,Pyramidenkogel,Plescherken,OE8XKK,OE8XKK G,431.2375,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,46.608914,14.14479,+1:00
32,AT-DSTAR,Gaisberg,Heuberg I,OE2XZR,OE2XZR G,431.4,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.805128,13.112955,+1:00
32,AT-DSTAR,Sternstein,Amesschlag,OE5XIM,OE5XIM G,431.4625,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,48.5599155,14.2690062,+1:00
32,AT-DSTAR,Hochwechsel,Neustift am Alpenwald,OE3XWU,OE3XWU G,431.475,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.530448,15.9145156,+1:00
32,AT-DSTAR,Obtarrenz,Tarrenz,OE7XOT,OE7XOT G,431.5,DUP-,7.6,DV,OFF,88.5Hz,YES,Exact,47.279243560012524,10.767288208007812,+1:00
32,AT-DSTAR,Wien AKH,Alsergrund,OE1XDS,OE1XDS G,1270.65,DUP-,28.0,DV,OFF,88.5Hz,YES,Exact,48.22075,16.34684,+1:00
33,SK-Repeaters,Bratislava - Kamzík,,OM0OVV,,145.0,DUP-,0.6,FM,TONE,77.0Hz,YES,Approximate,48.1875,17.125,+1:00
33,SK-Repeaters,Stará Ľubovňa - hrad,,OM0OUI,,145.0,DUP-,0.6,FM,OFF,88.5Hz,NO,Approximate,49.3125,20.70833,+1:00
33,SK-Repeaters,Makovica,,OM0OVT,,145.05,DUP-,0.6,FM,TONE,88.5Hz,YES,Approximate,48.85417,21.45833,+1:00
33,SK-Repeaters,Rudník - Branisko,,OM0OVY,,145.075,DUP-,0.6,FM,OFF,88.5Hz,NO,Approximate,49.02083,20.875,+1:00
33,SK-Repeaters,Krížava (Veľká lúka),,OM0OVU,,145.125,DUP-,0.6,FM,TONE,67.0Hz,YES,Approximate,49.10417,18.79167,+1:00
33,SK-Repeaters,Kráľova hoľa,,OM0OVR,,145.15,DUP-,0.6,FM,TONE,88.5Hz,YES,Approximate,48.89583,20.125,+1:00
33,SK-Repeaters,Veľká Javorina,,OM0OVQ,,145.1625,DUP-,0.6,FM,TONE,77.0Hz,YES,Approximate,48.85417,17.70833,+1:00
