callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading
OE/NO-215,Alpl,,,,,,False,False,,,False,,,False,,Niederösterreich,Austria,AUT,True,47.8483,14.845,JN77KU,1405,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/NO-215,,
OE/TI-351,Alpleskopf,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.3167,10.7733,JN57JH,2258,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-351,,
OE/TI-939,Alplespleisspitze,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,47.1967,10.3433,JN57EE,2648,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-939,,
OE/TI-578,Alplesspitze,,,,,,False,False,,,False,,,False,,Tirol,Austria,AUT,True,46.9578,12.2603,JN66DW,3149,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/TI-578,,
OE/OO-254,Alpstein,,,,,,False,False,,,False,,,False,,Oberösterreich,Austria,AUT,True,47.7942,14.4339,JN77FT,1443,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/OO-254,,
OE/KT-266,Altenberg,,,,,,False,False,,,False,,,False,,Kärnten,Austria,AUT,True,46.6824,13.6157,JN66TQ,1288,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/KT-266,,
OE/ST-431,Amachkogel,,,,,,False,False,,,False,,,False,,Steiermark,Austria,AUT,True,47.3528,14.5381,JN77GI,2312,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/ST-431,,
OE/OO-097,Ameisberg,,,,,,False,False,,,False,,,False,,Oberösterreich,Austria,AUT,True,48.555,13.8322,JN68VN,941,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/OO-097,,
OE/SB-439,Ameiseggberg,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.6212,13.2796,JN67PO,1351,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-439,,
OE/SB-418,Ameisnockenkopf,,,,,,False,False,,,False,,,False,,Salzburg,Austria,AUT,True,47.5857,12.7856,JN67JO,1925,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/SB-418,,
OE/ST-067,Ameringkogel,,,,,,False,False,,,False,,,False,,Steiermark,Austria,AUT,True,47.0711,14.8083,JN77JB,2187,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/ST-067,,
OE/NO-237,Anestberg,,,,,,False,False,,,False,,,False,,Niederösterreich,Austria,AUT,True,47.9703,15.4914,JN77RX,1092,False,,sota-summits,SOTA Summits,Summits on the Air,dynamic,,https://www.sotadata.org.uk/de/summits,0,,False,False,False,False,OE/NO-237,,
