callsign,name,band,freq_tx,freq_rx,ctcss_tx,ctcss_rx,c4fm,dmr,dmr_id,dmr_cc,dstar,dstar_rpt1,dstar_rpt2,fm,landmark,state,country,country_code,loc_exact,lat,long,locator,sea_level,skip,scan_group,source_id,source_name,source_provider,source_type,source_license,source_url,offset,dup,ctcss,simplex,split,multimode,name_formatted,distance,heading,attempts,activations,qsos,grid
AT-0240,Neufeldersee Recreation Site,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.8686,16.388,JN87eu,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0240 Neufeldersee Recreation Site,,,14,14,456,JN87eu
AT-0241,Hackelsberg Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.954,16.774,JN87jw,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0241 Hackelsberg Protected Area,,,3,3,118,JN87jw
AT-0242,Jungerberg Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.9605,16.7787,JN87jx,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0242 Jungerberg Protected Area,,,3,3,143,JN87jx
AT-0246,Noplerberg-Biri Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.5281,16.4652,JN87fm,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0246 Noplerberg-Biri Protected Area,,,2,2,75,JN87fm
AT-0247,Naherholungsgebiet Oberwart Multiple Use Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.3061,16.1715,JN87ch,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0247 Naherholungsgebiet Oberwart Multiple Use Area,,,4,4,253,JN87ch
AT-0255,Batthyanyfeld Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,48.0089,16.7423,JN88ia,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0255 Batthyanyfeld Protected Area,,,2,2,146,JN88ia
AT-0259,Zurndorfer Eichenwald und Hutweide Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.9573,17.0054,JN87mw,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0259 Zurndorfer Eichenwald und Hutweide Protected Area,,,2,2,126,JN87mw
AT-0260,Pfarrwiesen Illmitz Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.7631,16.817,JN87js,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0260 Pfarrwiesen Illmitz Protected Area,,,2,2,167,JN87js
AT-0261,Bridge at Andau Historic Site,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.707,17.0769,JN87mq,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0261 Bridge at Andau Historic Site,,,2,2,126,JN87mq
AT-0262,Frauenwiesen Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.922,16.5327,JN87gw,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0262 Frauenwiesen Protected Area,,,2,2,200,JN87gw
AT-0263,Rochuskapelle und Hetscherlberg Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.8616,16.5545,JN87gu,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0263 Rochuskapelle und Hetscherlberg Protected Area,,,3,3,173,JN87gu
AT-0264,Hoelzlstein Protected Area,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.8469,16.6544,JN87hu,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0264 Hoelzlstein Protected Area,,,4,4,197,JN87hu
AT-0272,Friedenspark Hirm Park,gps,,,,,False,False,,,False,,,False,AT-BU,Burgenland,Austria,AT,True,47.7862,16.4513,JN87fs,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0272 Friedenspark Hirm Park,,,3,3,309,JN87fs
AT-0281,East Austrian borderland route (07) National Recreation Trail,gps,,,,,False,False,,,False,,,False,"AT-BU,AT-NO,AT-ST,AT-WI",Burgenland,Austria,AT,True,48.1357,16.6334,JN88hd,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0281 East Austrian borderland route (07) National Recreation Trail,,,34,34,1356,JN88hd
AT-0282,European long-distance hiking trail (E4) National Recreation Trail,gps,,,,,False,False,,,False,,,False,"AT-BU,AT-NO,AT-OO,AT-ST,AT-SZ,AT-TR,AT-VO,AT-WI",Burgenland,Austria,AT,True,48.0737,16.1617,JN88bb,,False,,pota-api,POTA API,Parks on the Air,api,,https://api.pota.app/location/parks/AT-BU,0,,False,True,False,False,AT-0282 European long-distance hiking trail (E4) National Recreation Trail,,,90,88,3795,JN88bb
